A0,PA0
A1,PA1
TX2,PA2
RX2,PA3
A4,PA4
A5,PA5
A6,PA6
A7,PA7
1CL,PB6
1DA,PB7
C4,PC4
C5,PC5
RST,Reset
GND,GND
3V,3.3V
VDD,VIN
B3,PB3
RTC,PC13
C0,PC0
C1,PC1
C2,PC2
C3,PC3
3V,A3.3V
AGND,AGND
TX6,PC6
RX6,PC7
B8,PB8
B9,PB9
B12,PB12
B13,PB13
B14,PB14
B15,PB15
2CL,PB10
2DA,PB11
B0,PB0
B1,PB1
RST,Reset
GND,GND
3V,3.3V
VB,VIN
B3,PB3
DIO,PA13
CLK,PA14
A15,PA15
B4,PB4
GND,PB2
B5,PB5
C8,PC8
C9,PC9
TX3,PC10
RX3,PC11
RX5,PD2
TX5,PC12
A8,PA8
A8,PA8
TX1,PA9
RX1,PA10
DM,PA11
DP,PA12
